task_type,input_size_total_bytes,peak_mem_bytes
ZipPSA,861,5938515
ZipSeis,54339,6250000
ExtractSGT,39125818548,20640000
SeismogramSynthesis,5149009,5194739851
PeakValCalcOkaya,0,3138205
SeismogramSynthesis,3175424,3176979957
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2139984,2084782578
PeakValCalcOkaya,0,3131306
SeismogramSynthesis,1899372,1900302692
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3723571,3786781516
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2584513,2677211984
PeakValCalcOkaya,0,3090541
SeismogramSynthesis,4951995,4954421477
PeakValCalcOkaya,0,3106303
SeismogramSynthesis,2115395,2013574332
PeakValCalcOkaya,0,3135848
SeismogramSynthesis,3259981,3420654311
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2758344,2831253710
PeakValCalcOkaya,0,3131260
ExtractSGT,39936076936,20640000
SeismogramSynthesis,5317962,5281692688
PeakValCalcOkaya,0,3078287
SeismogramSynthesis,2234587,2316911739
PeakValCalcOkaya,0,3088017
SeismogramSynthesis,2256213,2271780711
PeakValCalcOkaya,0,3081149
SeismogramSynthesis,4407987,4498283200
PeakValCalcOkaya,0,3123577
SeismogramSynthesis,2837162,2838552209
PeakValCalcOkaya,0,3138222
SeismogramSynthesis,4859865,4862246333
PeakValCalcOkaya,0,3110333
SeismogramSynthesis,2820588,2821970088
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4701782,4856012696
PeakValCalcOkaya,0,3126962
SeismogramSynthesis,5215971,5369180344
PeakValCalcOkaya,0,3118795
SeismogramSynthesis,4042837,4107298087
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5327929,5363585371
PeakValCalcOkaya,0,3108505
SeismogramSynthesis,3214169,3200287314
PeakValCalcOkaya,0,3099511
SeismogramSynthesis,4677436,4556248129
PeakValCalcOkaya,0,3081205
ZipPSA,6051,6105941
ZipSeis,1047899,6230033
ExtractSGT,39725609190,18759241
SeismogramSynthesis,3337553,3239190282
PeakValCalcOkaya,0,3097912
SeismogramSynthesis,2139575,2140623391
PeakValCalcOkaya,0,3134071
SeismogramSynthesis,3678333,3591227357
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3340328,3426156544
PeakValCalcOkaya,0,3138197
SeismogramSynthesis,3215651,3217226668
PeakValCalcOkaya,0,3083936
SeismogramSynthesis,4369100,4501214927
PeakValCalcOkaya,0,3108335
SeismogramSynthesis,3021310,3038337894
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,5146328,5040324393
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,4196518,4226624708
PeakValCalcOkaya,0,3115873
SeismogramSynthesis,2075043,2076059771
PeakValCalcOkaya,0,3114774
SeismogramSynthesis,3720743,3712969857
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,3463302,3410026572
PeakValCalcOkaya,0,3107167
SeismogramSynthesis,3381212,3416534426
PeakValCalcOkaya,0,3103221
SeismogramSynthesis,2328960,2330101190
PeakValCalcOkaya,0,3110000
SeismogramSynthesis,2529618,2419765164
PeakValCalcOkaya,0,3101226
SeismogramSynthesis,5269028,5233650011
PeakValCalcOkaya,0,3109428
SeismogramSynthesis,4011577,4013542672
PeakValCalcOkaya,0,3090671
SeismogramSynthesis,3130086,3088180543
PeakValCalcOkaya,0,3121374
SeismogramSynthesis,4455678,4457861282
PeakValCalcOkaya,0,3076898
SeismogramSynthesis,3755370,3757210131
PeakValCalcOkaya,0,3082126
SeismogramSynthesis,2079416,2139374017
PeakValCalcOkaya,0,3091730
