task_type,input_size_total_bytes,peak_mem_bytes
TmpltBank,null,404532291
TmpltBank,null,404545920
TmpltBank,null,404553016
TmpltBank,null,404535536
TmpltBank,null,404521303
TmpltBank,null,404528384
TmpltBank,null,404546210
TmpltBank,null,404514943
TmpltBank,null,404530028
TmpltBank,null,404531472
TmpltBank,null,404521240
Inspiral,null,3900544062
Inspiral,null,4275128728
Inspiral,null,2069708728
Inspiral,null,3419089465
Inspiral,null,1851047540
Inspiral,null,2386176131
Inspiral,null,4263655897
Inspiral,null,4342181499
Inspiral,null,2924363258
Inspiral,null,3532714444
Inspiral,null,3413011931
Thinca,null,3200809
Thinca,null,3602206
TrigBank,null,1946504
TrigBank,null,1980491
TrigBank,null,1746949
TrigBank,null,1959206
TrigBank,null,2107720
TrigBank,null,2068576
TrigBank,null,1972310
TrigBank,null,2051650
TrigBank,null,2161195
TrigBank,null,2259620
TrigBank,null,2015180
TrigBank,null,2278460
Inspiral,null,2768046281
Inspiral,null,2746226074
Inspiral,null,3539159678
Inspiral,null,1963613257
Inspiral,null,2479501622
Inspiral,null,2978329802
Inspiral,null,1921535720
Inspiral,null,2233851239
Inspiral,null,2632229336
Inspiral,null,3149017993
Inspiral,null,2524824117
Inspiral,null,3097086345
Thinca,null,1685481
Thinca,null,3701412
TmpltBank,null,404559779
TmpltBank,null,404535822
TmpltBank,null,404555523
TmpltBank,null,404554226
TmpltBank,null,404548999
TmpltBank,null,404541185
TmpltBank,null,404550415
TmpltBank,null,404541359
TmpltBank,null,404561907
TmpltBank,null,404527068
TmpltBank,null,404509223
TmpltBank,null,404536542
TmpltBank,null,404527216
TmpltBank,null,404519322
TmpltBank,null,404535634
TmpltBank,null,404551072
TmpltBank,null,404562589
TmpltBank,null,404537356
TmpltBank,null,404554939
TmpltBank,null,404526008
TmpltBank,null,404536002
TmpltBank,null,404520028
TmpltBank,null,404568857
TmpltBank,null,404574139
TmpltBank,null,404539846
TmpltBank,null,404506785
TmpltBank,null,404496795
TmpltBank,null,404565383
TmpltBank,null,404540267
TmpltBank,null,404528326
TmpltBank,null,404548893
TmpltBank,null,404549014
TmpltBank,null,404521398
TmpltBank,null,404526731
TmpltBank,null,404534681
TmpltBank,null,404502148
TmpltBank,null,404585413
TmpltBank,null,404545490
TmpltBank,null,404565801
TmpltBank,null,404579560
TmpltBank,null,404544646
TmpltBank,null,404551758
TmpltBank,null,404531818
TmpltBank,null,404534322
TmpltBank,null,404541565
TmpltBank,null,404513496
TmpltBank,null,404540848
TmpltBank,null,404535910
TmpltBank,null,404520595
TmpltBank,null,404553509
TmpltBank,null,404545177
TmpltBank,null,404522487
TmpltBank,null,404529313
TmpltBank,null,404552327
TmpltBank,null,404505036
TmpltBank,null,404568072
TmpltBank,null,404526995
TmpltBank,null,404569969
TmpltBank,null,404562962
TmpltBank,null,404549224
TmpltBank,null,404539423
TmpltBank,null,404534082
TmpltBank,null,404521124
TmpltBank,null,404540038
TmpltBank,null,404510625
TmpltBank,null,404561431
TmpltBank,null,404606589
TmpltBank,null,404538288
TmpltBank,null,404570502
TmpltBank,null,404547207
TmpltBank,null,404513796
TmpltBank,null,404539934
TmpltBank,null,404500807
TmpltBank,null,404522424
TmpltBank,null,404580690
TmpltBank,null,404537211
TmpltBank,null,404497090
TmpltBank,null,404546531
TmpltBank,null,404512284
TmpltBank,null,404587665
